co_curso,cpc_faixa
37,3
100763,3
18031,4
1108067,4
1321453,4
504,3
102675,3
695,4
777,5
1440,4
18310,4
2191,4
2535,4
3140,4
3176,5
3221,4
58202,4
90053,3
20682,2
118697,3
11874,3
53202,4
12583,4
12590,4
12704,4
20039,4
12909,4
12971,4
1268972,5
102146,4
13287,4
113709,3
13719,4
13857,4
14094,4
18364,3
1175716,4
14507,4
91561,4
14555,4
14559,4
14582,4
1270511,4
14974,4
15840,4
150273,3
1186099,3
17725,4
18323,5
123237,2
1188283,4
1295064,4
13437,3
1102648,3
17147,4
91883,3
87958,3
1327317,5
1175735,3
114992,3
1102792,4
1103036,4
120215,4
54396,3
5000409,4
1276404,4
69971,2
141,4
304,4
1108167,4
391,5
485,4
760,4
1441,4
2694,4
3127,4
3161,4
3173,4
3417,4
100063,4
19454,3
1258695,2
18404,3
8414,3
1183959,4
11317,4
11438,4
11595,3
1178921,3
12017,4
12330,4
12584,4
9709,4
12693,4
12814,4
12972,4
13104,4
5001168,3
13202,5
13289,4
13426,4
13611,4
13720,4
13867,4
13997,4
99308,5
14096,4
14236,4
14361,4
14607,4
14613,4
14726,4
14973,4
1175049,3
15345,3
15408,4
80010,4
15841,4
16390,4
50884,2
42963,3
122676,4
60658,4
1257429,3
1314376,3
12,4
1261971,4
1261972,3
140,4
303,4
1108153,4
389,3
484,4
1202553,4
103596,4
90091,4
1068548,4
758,4
1026,3
1439,4
49910,4
66248,4
2348,4
1187646,4
2695,4
3148,4
3418,4
72417,2
3677,3
4082,4
120983,4
1216474,4
4720,4
7837,4
8437,4
1183958,4
1276878,3
8960,4
11316,4
11446,4
1257562,3
1257777,3
53338,2
71689,3
12015,3
12345,4
1202546,4
12569,4
12692,4
12813,4
12970,4
13103,4
5001167,4
13200,4
13286,4
13424,4
13601,4
1189778,4
13723,4
13866,4
13996,4
54490,4
14093,3
1292869,4
14234,4
14359,3
121850,4
14563,4
1202573,4
1185076,4
1292713,4
14615,4
1278877,3
14725,3
1214209,3
14975,4
15343,3
64706,4
80037,3
1146605,4
15783,3
15839,4
1264844,4
51699,3
16236,4
1188849,2
150039,5
57852,2
19086,2
16904,3
1029763,3
13453,3
1101742,3
60660,3
58412,3
113504,4
1178672,3
1321864,3
85586,3
1202588,4
21542,3
1292726,4
5001101,3
1292725,3
54494,4
9,4
100778,4
116662,2
135,4
319,4
1321455,5
399,4
101620,3
1167330,4
508,4
99916,4
632,4
115102,4
1270505,4
685,4
111128,5
1113139,5
751,4
1433,4
1137715,4
2113,3
2442,4
20579,3
1188485,3
2536,4
54504,3
100150,3
3139,4
3151,4
3160,4
73524,4
1216210,4
3413,4
58188,4
122312,4
7843,4
1349101,3
103301,4
11528,3
113809,3
11878,3
81914,3
53101,4
1179151,3
1127694,4
12586,4
1121130,4
12811,4
99084,4
12905,4
20841,4
13193,3
