co_curso,enade_faixa
37,4
100763,3
18031,4
1108067,4
1321453,3
504,3
102675,2
695,5
777,5
1440,4
18310,4
2191,4
2535,5
3140,5
3176,5
3221,5
58202,4
90053,3
20682,2
118697,3
11874,3
53202,4
12583,5
12590,3
12704,5
20039,4
12909,4
12971,5
1268972,5
102146,3
13287,4
113709,3
13719,4
13857,5
14094,4
18364,4
1175716,4
14507,3
91561,3
14555,4
14559,3
14582,4
1270511,5
14974,4
15840,4
150273,3
1186099,4
17725,4
18323,5
123237,2
1188283,3
1295064,4
13437,3
1102648,2
17147,3
91883,1
87958,3
1327317,5
1175735,1
114992,3
1102792,4
1103036,4
120215,4
54396,4
5000409,4
1276404,4
69971,3
141,5
304,4
1108167,4
391,5
485,5
760,4
1441,4
2694,4
3127,4
3161,4
3173,4
3417,4
100063,4
19454,3
1258695,2
18404,3
8414,4
1183959,4
11317,5
11438,4
11595,4
1178921,3
12017,4
12330,4
12584,4
9709,4
12693,5
12814,4
12972,5
13104,5
5001168,4
13202,5
13289,5
13426,4
13611,4
13720,5
13867,5
13997,4
99308,5
14096,4
14236,4
14361,4
14607,4
14613,4
14726,4
14973,4
1175049,3
15345,1
15408,4
80010,4
15841,4
16390,4
50884,1
42963,4
122676,4
60658,4
1257429,2
1314376,4
12,5
1261971,5
1261972,4
140,4
303,4
1108153,4
389,3
484,4
1202553,5
103596,4
90091,5
1068548,5
758,4
1026,3
1439,4
49910,4
66248,4
2348,3
1187646,4
2695,4
3148,5
3418,5
72417,2
3677,3
4082,3
120983,4
1216474,5
4720,5
7837,4
8437,5
1183958,4
1276878,4
8960,5
11316,4
11446,3
1257562,4
1257777,3
53338,1
71689,3
12015,3
12345,5
1202546,4
12569,5
12692,4
12813,5
12970,5
13103,4
5001167,4
13200,5
13286,4
13424,5
13601,4
1189778,5
13723,4
13866,4
13996,5
54490,4
14093,4
1292869,5
14234,4
14359,3
121850,4
14563,5
1202573,5
1185076,5
1292713,4
14615,4
1278877,3
14725,4
1214209,4
14975,4
15343,3
64706,4
80037,4
1146605,4
15783,4
15839,3
1264844,5
51699,4
16236,4
1188849,2
150039,4
57852,2
19086,3
16904,2
1029763,3
13453,4
1101742,4
60660,1
58412,4
113504,4
1178672,3
1321864,3
85586,4
1202588,4
21542,4
1292726,4
5001101,3
1292725,3
54494,4
9,4
100778,4
116662,3
135,4
319,5
1321455,4
399,4
101620,2
1167330,3
508,4
99916,4
632,4
115102,5
1270505,3
685,5
111128,5
1113139,5
751,5
1433,4
1137715,4
2113,4
2442,3
20579,3
1188485,3
2536,4
54504,3
100150,3
3139,4
3151,4
3160,4
73524,4
1216210,4
3413,5
58188,4
122312,4
7843,4
1349101,3
103301,4
11528,3
113809,2
11878,3
81914,2
53101,4
1179151,3
1127694,4
12586,5
1121130,4
12811,4
99084,5
