tp_grau_academico,co_curso,enade_faixa
bacharelado,1,5
bacharelado,2,2
bacharelado,7,4
bacharelado,8,4
bacharelado,13,4
bacharelado,21,2
bacharelado,122,5
bacharelado,126,5
bacharelado,128,5
bacharelado,145,5
bacharelado,148,5
bacharelado,149,4
bacharelado,165,5
bacharelado,167,4
bacharelado,306,5
bacharelado,308,5
bacharelado,376,5
bacharelado,377,3
bacharelado,378,3
bacharelado,388,3
bacharelado,392,4
bacharelado,395,4
bacharelado,490,4
bacharelado,491,5
bacharelado,492,3
bacharelado,497,4
bacharelado,500,4
bacharelado,501,3
bacharelado,502,2
bacharelado,596,5
bacharelado,683,5
bacharelado,686,4
bacharelado,705,5
bacharelado,762,2
bacharelado,764,4
bacharelado,765,4
bacharelado,766,4
bacharelado,767,4
bacharelado,773,5
bacharelado,781,4
bacharelado,1027,2
bacharelado,1028,5
bacharelado,1041,3
bacharelado,1431,4
bacharelado,1436,4
bacharelado,1443,4
bacharelado,2104,5
bacharelado,2106,4
bacharelado,2111,3
bacharelado,2174,4
bacharelado,2198,4
bacharelado,2214,4
bacharelado,2448,4
bacharelado,2471,3
bacharelado,2532,5
bacharelado,2618,3
bacharelado,2619,4
bacharelado,2620,3
bacharelado,2697,5
bacharelado,3129,4
bacharelado,3136,5
bacharelado,3137,4
bacharelado,3203,4
bacharelado,3392,3
bacharelado,3393,4
bacharelado,3394,4
bacharelado,3395,5
bacharelado,3401,5
bacharelado,3415,4
bacharelado,3482,4
bacharelado,3484,4
bacharelado,3486,4
bacharelado,3488,3
bacharelado,3558,3
bacharelado,3559,3
bacharelado,3560,3
bacharelado,3562,3
bacharelado,3570,5
bacharelado,3638,3
bacharelado,3639,3
bacharelado,3658,3
bacharelado,3659,3
bacharelado,3660,4
bacharelado,3663,3
bacharelado,3672,3
bacharelado,3685,3
bacharelado,4072,3
bacharelado,4073,5
bacharelado,4075,3
bacharelado,4086,4
bacharelado,4102,4
bacharelado,4190,5
bacharelado,4191,3
bacharelado,4197,5
bacharelado,5788,3
bacharelado,5789,3
bacharelado,7833,4
bacharelado,7834,4
bacharelado,7835,5
bacharelado,7836,3
bacharelado,8433,4
bacharelado,8762,4
bacharelado,8763,3
bacharelado,8764,4
bacharelado,9976,4
bacharelado,9977,4
bacharelado,11124,2
bacharelado,11158,4
bacharelado,11166,4
bacharelado,11167,3
bacharelado,11169,3
bacharelado,11193,4
bacharelado,11294,4
bacharelado,11313,4
bacharelado,11315,3
bacharelado,11318,4
bacharelado,11319,3
bacharelado,11320,4
bacharelado,11427,3
bacharelado,11434,5
bacharelado,11441,4
bacharelado,11448,5
bacharelado,11451,4
bacharelado,11453,5
bacharelado,11457,4
bacharelado,11458,5
bacharelado,11537,5
bacharelado,11538,3
bacharelado,11596,4
bacharelado,11599,3
bacharelado,11600,4
bacharelado,11601,4
bacharelado,11602,4
bacharelado,11606,4
bacharelado,11615,4
bacharelado,11663,4
bacharelado,11890,3
bacharelado,11988,4
bacharelado,11989,4
bacharelado,11990,5
bacharelado,11993,3
bacharelado,11998,4
bacharelado,12012,4
bacharelado,12078,4
bacharelado,12096,4
bacharelado,12311,5
bacharelado,12312,4
bacharelado,12314,4
bacharelado,12316,5
bacharelado,12317,5
bacharelado,12325,5
bacharelado,12349,4
bacharelado,12355,4
bacharelado,12563,5
bacharelado,12566,5
bacharelado,12571,4
bacharelado,12572,5
bacharelado,12573,5
bacharelado,12691,5
bacharelado,12696,4
bacharelado,12698,4
bacharelado,12699,5
bacharelado,12701,5
bacharelado,12711,4
bacharelado,12724,5
bacharelado,12820,5
bacharelado,12821,5
bacharelado,12822,5
bacharelado,12823,4
bacharelado,12824,4
bacharelado,12829,5
bacharelado,12912,3
bacharelado,12913,4
bacharelado,12941,5
bacharelado,12947,5
bacharelado,12948,5
bacharelado,12951,5
bacharelado,12974,5
bacharelado,13089,5
bacharelado,13090,3
bacharelado,13107,5
bacharelado,13113,5
bacharelado,13203,4
bacharelado,13204,4
bacharelado,13205,3
bacharelado,13207,5
bacharelado,13214,4
bacharelado,13222,4
bacharelado,13292,4
bacharelado,13296,5
bacharelado,13299,5
bacharelado,13302,5
bacharelado,13315,5
bacharelado,13322,5
bacharelado,13394,3
bacharelado,13395,5
bacharelado,13397,4
bacharelado,13398,5
bacharelado,13413,5
bacharelado,13417,4
bacharelado,13433,3
bacharelado,13434,4
bacharelado,13451,3
bacharelado,13455,4
bacharelado,13572,4
bacharelado,13573,4
bacharelado,13574,3
bacharelado,13576,5
bacharelado,13581,5
bacharelado,13582,4
bacharelado,13608,4
bacharelado,13625,5
bacharelado,13703,5
bacharelado,13714,4
bacharelado,13725,5
bacharelado,13732,5
bacharelado,13734,5
bacharelado,13850,5
bacharelado,13851,4
bacharelado,13852,4
bacharelado,13853,4
bacharelado,13968,5
bacharelado,13969,5
bacharelado,13970,4
bacharelado,13986,4
bacharelado,13998,5
bacharelado,14002,4
bacharelado,14106,5
bacharelado,14109,5
bacharelado,14213,5
bacharelado,14219,4
bacharelado,14220,4
bacharelado,14222,5
bacharelado,14223,5
bacharelado,14240,5
bacharelado,14356,5
bacharelado,14358,5
bacharelado,14363,5
bacharelado,14364,4
bacharelado,14365,5
bacharelado,14366,5
bacharelado,14515,3
bacharelado,14537,4
bacharelado,14539,5
bacharelado,14678,3
bacharelado,14679,4
bacharelado,14701,4
bacharelado,14702,4
bacharelado,14705,4
bacharelado,14710,4
bacharelado,14711,4
bacharelado,14713,3
bacharelado,14715,4
bacharelado,14716,5
bacharelado,14718,4
bacharelado,14719,5
bacharelado,14720,3
bacharelado,14972,4
bacharelado,15054,3
bacharelado,15162,3
bacharelado,15164,3
bacharelado,15338,3
bacharelado,15339,3
bacharelado,15340,2
bacharelado,15342,2
bacharelado,15346,3
bacharelado,15405,4
bacharelado,15406,4
bacharelado,15407,3
bacharelado,15716,3
bacharelado,15734,3
bacharelado,15744,4
bacharelado,15772,3
bacharelado,15773,3
bacharelado,15788,5
bacharelado,15830,3
bacharelado,15847,3
bacharelado,15848,3
bacharelado,15852,3
bacharelado,15867,4
bacharelado,15873,3
bacharelado,15877,4
bacharelado,15884,4
bacharelado,15987,2
bacharelado,15988,4
bacharelado,15989,3
bacharelado,15995,4
bacharelado,16000,3
bacharelado,16008,3
bacharelado,16012,4
bacharelado,16016,3
bacharelado,16090,2
bacharelado,16154,3
bacharelado,16155,3
bacharelado,16180,3
bacharelado,16181,3
bacharelado,16182,1
bacharelado,16280,3
bacharelado,16281,3
bacharelado,16318,3
