tp_grau_academico,co_curso,enade_faixa,cpc_faixa
licenciatura,151,4,4
licenciatura,52159,3,3
licenciatura,80419,3,3
licenciatura,62512,4,3
licenciatura,1103469,1,2
licenciatura,1105133,3,3
licenciatura,1146843,4,3
licenciatura,1044,3,4
licenciatura,111378,5,4
licenciatura,117352,4,3
licenciatura,91972,5,4
licenciatura,94725,5,4
licenciatura,1212284,5,4
licenciatura,5000539,4,3
licenciatura,1178043,4,4
licenciatura,92597,3,2
licenciatura,111889,4,4
licenciatura,11462,3,3
licenciatura,95667,4,4
licenciatura,116522,4,4
licenciatura,52472,4,4
licenciatura,1112914,4,3
licenciatura,12943,5,4
licenciatura,1153951,4,4
licenciatura,13312,4,4
licenciatura,107438,4,4
licenciatura,23910,4,3
licenciatura,116768,5,4
licenciatura,84840,3,4
licenciatura,21990,4,4
licenciatura,1103310,2,3
licenciatura,31978,3,3
licenciatura,36348,4,4
licenciatura,123567,2,3
licenciatura,63886,4,4
licenciatura,1154848,3,3
licenciatura,1156313,2,3
licenciatura,102702,3,3
licenciatura,39550,4,3
licenciatura,84006,4,3
licenciatura,120080,4,3
licenciatura,1314353,2,3
licenciatura,116962,4,4
licenciatura,120114,2,3
licenciatura,70536,4,3
licenciatura,1155133,4,4
licenciatura,1276412,2,3
bacharelado,36,3,4
bacharelado,112846,3,4
bacharelado,127,4,4
licenciatura,18032,5,4
bacharelado,317,4,4
bacharelado,62484,4,4
bacharelado,513,4,4
bacharelado,594,4,4
bacharelado,614,4,4
bacharelado,112680,5,4
bacharelado,703,5,5
bacharelado,1161839,4,4
bacharelado,778,4,4
bacharelado,1452,4,4
bacharelado,20239,4,4
bacharelado,2209,3,3
bacharelado,54520,4,3
bacharelado,2717,5,4
bacharelado,3190,4,4
bacharelado,3197,5,4
bacharelado,3211,3,4
bacharelado,52048,4,4
bacharelado,3419,4,4
bacharelado,3531,2,2
bacharelado,20933,3,4
bacharelado,57606,2,3
bacharelado,3676,3,4
bacharelado,18584,3,3
bacharelado,122330,3,4
licenciatura,121564,2,3
bacharelado,5000356,3,4
bacharelado,11452,4,4
bacharelado,1190071,3,3
bacharelado,1265453,2,3
bacharelado,12313,5,5
bacharelado,12581,5,4
licenciatura,1270221,4,4
licenciatura,1270226,5,4
bacharelado,12710,5,4
bacharelado,82799,3,4
licenciatura,1145037,3,4
bacharelado,12837,5,4
bacharelado,116868,3,4
bacharelado,1159854,4,4
bacharelado,1102636,4,4
bacharelado,12946,5,5
bacharelado,18518,4,4
bacharelado,65361,5,5
bacharelado,13216,5,4
bacharelado,101942,3,4
bacharelado,13277,4,4
licenciatura,1142650,4,3
bacharelado,13401,4,4
licenciatura,98984,3,3
bacharelado,13595,4,4
bacharelado,13717,5,4
bacharelado,13881,4,4
bacharelado,13980,4,4
bacharelado,1270596,3,4
bacharelado,1272079,4,4
bacharelado,1299927,3,4
bacharelado,14098,4,4
bacharelado,14217,5,4
bacharelado,85783,4,4
licenciatura,43917,5,4
bacharelado,1102628,4,4
bacharelado,1102800,3,4
licenciatura,1150932,3,3
bacharelado,1152636,3,4
bacharelado,1164656,3,4
bacharelado,1270472,3,4
bacharelado,91262,4,4
licenciatura,1117715,2,3
bacharelado,110528,5,5
bacharelado,18335,3,4
bacharelado,1178662,3,4
bacharelado,96951,4,4
bacharelado,18251,4,4
licenciatura,123502,1,2
licenciatura,1125808,3,3
licenciatura,1313285,3,3
bacharelado,1166783,3,3
bacharelado,1269545,3,3
bacharelado,1327439,3,3
bacharelado,14681,2,2
bacharelado,15002,4,3
bacharelado,19042,3,3
bacharelado,37862,2,2
bacharelado,15869,4,4
bacharelado,1113854,2,4
bacharelado,318882,3,3
bacharelado,43044,2,3
licenciatura,59659,3,4
licenciatura,68065,1,2
bacharelado,1269969,2,3
bacharelado,1269970,2,3
bacharelado,1473094,2,3
bacharelado,18558,3,3
bacharelado,18559,3,3
bacharelado,1190145,2,3
bacharelado,98305,3,4
bacharelado,1267543,3,3
bacharelado,101984,4,4
bacharelado,68321,3,4
licenciatura,150102,2,2
bacharelado,101712,3,4
bacharelado,21103,2,3
bacharelado,1331611,3,3
bacharelado,1377489,4,4
licenciatura,1181262,3,3
bacharelado,1377509,3,3
bacharelado,1181115,2,3
bacharelado,1376131,2,3
bacharelado,5000143,3,3
bacharelado,1420608,4,5
bacharelado,1341371,4,5
licenciatura,1166493,2,3
bacharelado,122536,1,2
bacharelado,13446,4,4
licenciatura,1125917,2,3
bacharelado,1312023,3,3
licenciatura,1382579,3,3
licenciatura,1127865,3,4
bacharelado,1260196,3,3
licenciatura,82654,3,4
licenciatura,90677,2,3
bacharelado,1190440,4,4
bacharelado,1167817,3,3
licenciatura,1168390,3,3
bacharelado,98918,3,3
bacharelado,41238,3,4
