label,no_curso
0,recife_bacharelado_agronomia
0,recife_licenciatura_ciencias_biologicas
0,recife_licenciatura_matematica
0,recife_bacharelado_medicina_veterinaria
0,recife_licenciatura_quimica
1,recife_bacharelado_ciencias_biologicas
1,recife_bacharelado_ciencias_do_consumo
1,recife_bacharelado_engenharia_agricola_e_ambiental
1,recife_bacharelado_engenharia_de_pesca
1,recife_bacharelado_engenharia_florestal
1,recife_licenciatura_fisica
1,recife_bacharelado_zootecnia
1,serra_talhada_bacharelado_administracao
1,serra_talhada_bacharelado_agronomia
1,serra_talhada_bacharelado_ciencias_biologicas
1,serra_talhada_bacharelado_ciencias_economicas
1,serra_talhada_bacharelado_engenharia_de_pesca
1,serra_talhada_licenciatura_letras_-_portugues_e_ingles
1,serra_talhada_licenciatura_quimica
1,serra_talhada_bacharelado_sistema_de_informacao
1,serra_talhada_bacharelado_zootecnia
2,cabo_de_santo_agostinho_bacharelado_engenharia_civil
2,cabo_de_santo_agostinho_bacharelado_engenharia_de_materiais
2,cabo_de_santo_agostinho_bacharelado_engenharia_eletronica
2,cabo_de_santo_agostinho_bacharelado_engenharia_eletrica
2,cabo_de_santo_agostinho_bacharelado_engenharia_mecanica
3,belo_jardim_bacharelado_engenharia_de_computacao
3,belo_jardim_bacharelado_engenharia_de_controle_e_automacao
3,belo_jardim_bacharelado_engenharia_hidrica
3,belo_jardim_bacharelado_engenharia_quimica
3,recife_bacharelado_agroecologia
3,recife_tecnologico_aquicultura
3,recife_licenciatura_ciencias_agricolas
3,recife_bacharelado_economia_domestica
3,recife_bacharelado_engenharia_ambiental
4,recife_bacharelado_administracao
4,recife_bacharelado_ciencia_da_computacao
4,recife_bacharelado_ciencias_economicas
4,recife_bacharelado_ciencias_sociais
4,recife_licenciatura_computacao
4,recife_licenciatura_educacao_fisica
4,recife_bacharelado_gastronomia
4,recife_licenciatura_historia
4,recife_licenciatura_letras_-_portugues_e_espanhol
4,recife_licenciatura_pedagogia
4,recife_bacharelado_sistema_de_informacao
