co_curso,enade_faixa
1,5
2,2
7,4
8,4
13,4
21,2
122,5
126,5
128,5
145,5
148,5
149,4
165,5
167,4
306,5
308,5
376,5
377,3
378,3
388,3
392,4
395,4
490,4
491,5
492,3
497,4
500,4
501,3
502,2
596,5
683,5
686,4
705,5
762,2
764,4
765,4
766,4
767,4
773,5
781,4
1027,2
1028,5
1041,3
1431,4
1436,4
1443,4
2104,5
2106,4
2111,3
2174,4
2198,4
2214,4
2448,4
2471,3
2532,5
2618,3
2619,4
2620,3
2697,5
3129,4
3136,5
3137,4
3203,4
3392,3
3393,4
3394,4
3395,5
3401,5
3415,4
3482,4
3484,4
3486,4
3488,3
3558,3
3559,3
3560,3
3562,3
3570,5
3638,3
3639,3
3658,3
3659,3
3660,4
3663,3
3672,3
3685,3
4072,3
4073,5
4075,3
4086,4
4102,4
4190,5
4191,3
4197,5
5788,3
5789,3
7833,4
7834,4
7835,5
7836,3
8433,4
8762,4
8763,3
8764,4
9976,4
9977,4
11124,2
11158,4
11166,4
11167,3
11169,3
11193,4
11294,4
11313,4
11315,3
11318,4
11319,3
11320,4
11427,3
11434,5
11441,4
11448,5
11451,4
11453,5
11457,4
11458,5
11537,5
11538,3
11596,4
11599,3
11600,4
11601,4
11602,4
11606,4
11615,4
11663,4
11890,3
11988,4
11989,4
11990,5
11993,3
11998,4
12012,4
12078,4
12096,4
12311,5
12312,4
12314,4
12316,5
12317,5
12325,5
12349,4
12355,4
12563,5
12566,5
12571,4
12572,5
12573,5
12691,5
12696,4
12698,4
12699,5
12701,5
12711,4
12724,5
12820,5
12821,5
12822,5
12823,4
12824,4
12829,5
12912,3
12913,4
12941,5
12947,5
12948,5
12951,5
12974,5
13089,5
13090,3
13107,5
13113,5
13203,4
13204,4
13205,3
13207,5
13214,4
13222,4
13292,4
13296,5
13299,5
13302,5
13315,5
13322,5
13394,3
13395,5
13397,4
13398,5
13413,5
13417,4
13433,3
13434,4
13451,3
13455,4
13572,4
13573,4
13574,3
13576,5
13581,5
13582,4
13608,4
13625,5
13703,5
13714,4
13725,5
13732,5
13734,5
13850,5
13851,4
13852,4
13853,4
13968,5
13969,5
13970,4
13986,4
13998,5
14002,4
14106,5
14109,5
14213,5
14219,4
14220,4
14222,5
14223,5
14240,5
14356,5
14358,5
14363,5
14364,4
14365,5
14366,5
14515,3
14537,4
14539,5
14678,3
14679,4
14701,4
14702,4
14705,4
14710,4
14711,4
14713,3
14715,4
14716,5
14718,4
14719,5
14720,3
14972,4
15054,3
15162,3
15164,3
15338,3
15339,3
15340,2
15342,2
15346,3
15405,4
15406,4
15407,3
15716,3
15734,3
15744,4
15772,3
15773,3
15788,5
15830,3
15847,3
15848,3
15852,3
15867,4
15873,3
15877,4
15884,4
15987,2
15988,4
15989,3
15995,4
16000,3
16008,3
16012,4
16016,3
16090,2
16154,3
16155,3
16180,3
16181,3
16182,1
16280,3
16281,3
16318,3
16393,4
16395,3
16397,4
16398,4
16400,3
16402,4
16580,2
16595,4
16596,1
16628,2
16629,2
16630,3
16677,4
16687,3
16688,3
16891,1
16892,3
16899,5
16905,3
17052,3
17053,3
17073,3
17153,3
17200,5
17202,1
17411,2
17439,5
17762,3
17766,4
18066,3
18148,5
18353,4
18373,4
18385,4
18386,4
18391,4
18394,4
18396,3
18407,2
18408,3
18416,2
18424,4
18426,3
18546,4
18547,5
18548,5
18664,4
