co_curso,enade_faixa,cpc_faixa
1,5.0,4.0
2,2.0,3.0
3,4.0,3.0
6,5.0,4.0
7,4.0,4.0
8,4.0,4.0
9,4.0,4.0
10,4.0,3.0
12,5.0,4.0
13,4.0,4.0
16,4.0,4.0
17,4.0,5.0
19,3.0,4.0
20,4.0,4.0
21,2.0,3.0
23,4.0,4.0
24,3.0,3.0
25,3.0,4.0
26,3.0,3.0
27,3.0,3.0
29,3.0,4.0
32,2.0,3.0
34,2.0,3.0
36,3.0,4.0
37,4.0,3.0
44,5.0,4.0
122,5.0,5.0
126,5.0,5.0
127,4.0,4.0
128,5.0,4.0
132,5.0,4.0
133,3.0,3.0
135,4.0,4.0
136,5.0,4.0
137,4.0,4.0
138,5.0,4.0
139,4.0,3.0
140,4.0,4.0
141,5.0,4.0
142,4.0,4.0
143,4.0,4.0
144,5.0,4.0
145,5.0,5.0
148,5.0,4.0
149,4.0,4.0
150,5.0,4.0
151,4.0,4.0
158,4.0,4.0
159,4.0,4.0
160,5.0,4.0
161,4.0,4.0
162,4.0,4.0
163,4.0,4.0
165,5.0,4.0
167,4.0,4.0
294,5.0,4.0
295,4.0,4.0
297,3.0,4.0
302,5.0,4.0
303,4.0,4.0
304,4.0,4.0
306,5.0,5.0
308,5.0,4.0
310,4.0,4.0
311,3.0,4.0
315,4.0,4.0
317,4.0,4.0
318,3.0,4.0
319,5.0,4.0
322,2.0,3.0
326,4.0,4.0
327,4.0,4.0
328,3.0,4.0
376,5.0,4.0
377,3.0,4.0
378,3.0,3.0
379,3.0,3.0
380,3.0,3.0
381,4.0,4.0
382,3.0,4.0
383,4.0,4.0
385,4.0,4.0
388,3.0,3.0
389,3.0,3.0
390,4.0,4.0
391,5.0,5.0
392,4.0,4.0
395,4.0,4.0
396,4.0,4.0
397,3.0,4.0
398,4.0,4.0
399,4.0,4.0
402,4.0,4.0
403,3.0,3.0
407,2.0,3.0
484,4.0,4.0
485,5.0,4.0
486,5.0,4.0
487,4.0,4.0
488,4.0,4.0
490,4.0,3.0
491,5.0,4.0
492,3.0,3.0
494,4.0,4.0
495,3.0,3.0
496,3.0,3.0
497,4.0,4.0
498,3.0,3.0
500,4.0,3.0
501,3.0,3.0
502,2.0,3.0
504,3.0,3.0
508,4.0,4.0
512,5.0,4.0
513,4.0,4.0
516,5.0,4.0
517,5.0,3.0
519,3.0,3.0
525,4.0,4.0
586,5.0,4.0
590,4.0,4.0
591,5.0,4.0
592,4.0,4.0
593,4.0,4.0
594,4.0,4.0
595,3.0,4.0
596,5.0,4.0
614,4.0,4.0
615,5.0,4.0
619,4.0,4.0
621,4.0,4.0
623,4.0,4.0
624,4.0,3.0
626,5.0,4.0
627,5.0,4.0
630,4.0,4.0
631,4.0,4.0
632,4.0,4.0
635,5.0,4.0
637,4.0,4.0
683,5.0,5.0
684,5.0,4.0
685,5.0,4.0
686,4.0,4.0
687,5.0,5.0
689,5.0,4.0
691,5.0,4.0
692,5.0,4.0
694,4.0,4.0
695,5.0,4.0
696,4.0,4.0
697,5.0,4.0
698,5.0,5.0
700,4.0,4.0
701,5.0,4.0
703,5.0,5.0
704,5.0,4.0
705,5.0,4.0
750,4.0,3.0
751,5.0,4.0
754,4.0,4.0
758,4.0,4.0
759,5.0,4.0
760,4.0,4.0
761,4.0,4.0
762,2.0,3.0
763,5.0,4.0
764,4.0,3.0
765,4.0,4.0
766,4.0,4.0
767,4.0,4.0
768,4.0,4.0
769,4.0,5.0
770,3.0,3.0
771,3.0,4.0
772,4.0,4.0
773,5.0,4.0
774,4.0,4.0
775,4.0,4.0
777,5.0,5.0
778,4.0,4.0
779,5.0,4.0
780,4.0,5.0
781,4.0,3.0
1026,3.0,3.0
1027,2.0,3.0
1028,5.0,5.0
1033,3.0,4.0
1034,3.0,4.0
1035,3.0,4.0
1036,4.0,4.0
1038,4.0,4.0
1039,4.0,4.0
1040,3.0,3.0
1041,3.0,3.0
1043,4.0,4.0
1044,3.0,4.0
1045,3.0,4.0
1046,4.0,4.0
1051,4.0,4.0
1052,3.0,3.0
1428,4.0,4.0
1429,3.0,4.0
1430,4.0,4.0
1431,4.0,4.0
1433,4.0,4.0
1435,4.0,4.0
1436,4.0,4.0
1438,4.0,4.0
1439,4.0,4.0
1440,4.0,4.0
1441,4.0,4.0
1443,4.0,4.0
1444,4.0,4.0
1445,4.0,4.0
1446,3.0,4.0
1448,5.0,4.0
1449,3.0,4.0
1450,4.0,3.0
1451,4.0,4.0
1452,4.0,4.0
1453,4.0,4.0
1454,3.0,4.0
2104,5.0,4.0
2106,4.0,4.0
2108,2.0,3.0
2110,4.0,3.0
2111,3.0,3.0
2112,4.0,4.0
2113,4.0,3.0
2133,4.0,4.0
2174,4.0,4.0
2191,4.0,4.0
2192,5.0,4.0
2194,3.0,3.0
2197,3.0,3.0
2198,4.0,4.0
2199,5.0,4.0
2202,5.0,4.0
2204,4.0,4.0
2205,3.0,3.0
2206,4.0,4.0
2208,3.0,4.0
2209,3.0,3.0
2211,3.0,3.0
2212,4.0,3.0
2213,3.0,4.0
2214,4.0,4.0
2215,4.0,4.0
2216,4.0,4.0
2217,4.0,4.0
2221,4.0,3.0
2348,3.0,4.0
2350,3.0,3.0
2351,5.0,4.0
2388,4.0,3.0
2442,3.0,4.0
2448,4.0,4.0
2450,4.0,4.0
2451,4.0,3.0
2471,3.0,3.0
2525,3.0,4.0
2529,4.0,3.0
2532,5.0,5.0
2534,4.0,4.0
2535,5.0,4.0
2536,4.0,4.0
2537,5.0,4.0
2538,5.0,4.0
2540,4.0,4.0
2541,4.0,4.0
2544,5.0,4.0
2545,4.0,3.0
2618,3.0,4.0
2619,4.0,3.0
2620,3.0,3.0
2622,2.0,3.0
2623,4.0,4.0
2626,3.0,4.0
2675,4.0,3.0
2689,5.0,4.0
2690,5.0,4.0
2691,4.0,4.0
2692,5.0,4.0
2693,5.0,4.0
2694,4.0,4.0
2695,4.0,4.0
2697,5.0,5.0
2700,5.0,4.0
2701,4.0,4.0
2711,4.0,4.0
2712,5.0,4.0
2716,5.0,3.0
2717,5.0,4.0
2720,5.0,4.0
2721,4.0,4.0
2722,4.0,4.0
2723,5.0,4.0
2724,4.0,4.0
3127,4.0,4.0
3128,4.0,4.0
3129,4.0,4.0
3130,4.0,3.0
3131,5.0,4.0
3132,4.0,4.0
3135,4.0,4.0
3136,5.0,4.0
3137,4.0,4.0
3138,3.0,4.0
3139,4.0,4.0
3140,5.0,4.0
3144,4.0,4.0
3145,4.0,4.0
3146,4.0,4.0
3148,5.0,4.0
3149,4.0,4.0
3150,4.0,4.0
3151,4.0,4.0
3154,5.0,4.0
3156,4.0,4.0
3159,4.0,4.0
3160,4.0,4.0
3161,4.0,4.0
3162,4.0,4.0
3163,4.0,4.0
