no_cine_area_geral_agricultura,_silvicultura,_pesca_e_veterinaria;no_cine_area_geral_ciencias_naturais,_matematica_e_estatistica;no_cine_area_geral_ciencias_sociais,_comunicacao_e_informacao;no_cine_area_geral_computacao_e_tecnologias_da_informacao_e_comunicacao_(tic);no_cine_area_geral_educacao;no_cine_area_geral_engenharia,_producao_e_construcao;no_cine_area_geral_negocios,_administracao_e_direito;no_cine_area_geral_servicos;tp_grau_academico_bacharelado;tp_grau_academico_licenciatura;tp_grau_academico_tecnologico;enade_faixa_2;enade_faixa_3;enade_faixa_4;enade_faixa_5;enade_faixa_SC;cpc_faixa_3;cpc_faixa_4;cpc_faixa_5;cpc_faixa_SC;qt_vg_total;qt_vg_remanesc;qt_inscrito_total;qt_insc_vg_remanesc;qt_ing_fem;qt_ing_masc;qt_ing_outra_forma;qt_ing_preta;qt_ing_amarela;qt_ing_cornd;qt_conc;qt_ing_deficiente;qt_ing_reserva_vaga;qt_sit_trancada;qt_sit_desvinculado;qt_ing_procescprivada;qt_conc_procescpublica;qt_apoio_social;qt_conc_apoio_social;qt_ativ_extracurricular;co_curso;no_curso
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;-1.1980092768065465;-1.515847656477081;-0.8607499389075631;-0.8398518566654409;-0.9498487320082183;0.7801875878306167;-0.6976331523151158;-0.7844812567175538;0.29675587033676415;-0.8986808964342179;-1.1036457937416622;1.103234704534651;1.758523679602418;-0.9218161411249243;-1.5801114661871143;-1.4622348559583571;-0.7467789480468974;-1.1342396711704763;-0.6908909572391251;-0.9879753485630821;1516690.0;belo_jardim_bacharelado_engenharia_de_computacao
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;-1.1980092768065465;-1.515847656477081;-1.0489791499878822;-0.8398518566654409;-0.7928912405941976;0.2085825746759897;-0.6976331523151158;-0.9744082978175931;-0.9442232237987953;1.410778390491705;-1.1036457937416622;-0.886914174233739;1.758523679602418;-1.1077965906501284;-0.85471099268804;-1.1310541401824614;-0.7467789480468974;-1.1342396711704763;-0.6908909572391251;-1.0858684364120896;1516692.0;belo_jardim_bacharelado_engenharia_de_controle_e_automacao
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;-1.1980092768065465;-1.515847656477081;-0.9934756646693266;-0.8398518566654409;-1.002167895812892;-0.7713117335890851;-0.6976331523151158;-0.7844812567175538;1.5377349644723235;-0.43678903904903327;-1.1036457937416622;-0.886914174233739;1.758523679602418;-0.7358356915997203;-1.4713013951622531;-1.5947071422687153;-0.7467789480468974;-1.1342396711704763;-0.6908909572391251;-1.0858684364120896;1516689.0;belo_jardim_bacharelado_engenharia_hidrica
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;-1.1980092768065465;-1.515847656477081;-1.0031284447247275;-0.8398518566654409;-0.11274211113344075;-0.7713117335890851;-0.6976331523151158;-1.1643353389176323;0.29675587033676415;0.025102818336151345;-1.1036457937416622;-0.886914174233739;1.758523679602418;-1.1077965906501284;-1.507571418837207;-1.3628806412255885;-0.7467789480468974;-1.1342396711704763;-0.6908909572391251;-0.9879753485630821;1516693.0;belo_jardim_bacharelado_engenharia_quimica
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.3260408025721313;-0.12126781251816654;0.17692391704804253;0.03610133158080074;0.7243645097413368;0.6985297288085272;1.8094859888173318;1.1147891542828396;0.29675587033676415;-0.43678903904903327;-0.2838673725540839;-0.886914174233739;1.758523679602418;0.937988354127116;0.1971196938856179;-0.7005192096737969;0.8890225571986873;1.584558151039648;-0.2706465402738391;-0.8900822607140745;1270379.0;cabo_de_santo_agostinho_bacharelado_engenharia_civil
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.3260408025721313;-0.12126781251816654;-0.08128794943393376;-0.8398518566654409;0.6197261821319896;1.3109636714741988;-0.6976331523151158;0.734935072082761;1.5377349644723235;2.565508033954667;-0.6352009816344746;0.10816026515045601;1.758523679602418;0.38004700555150395;-0.12931051918896555;-0.8329914959841552;0.3437553887834924;0.3546258028969728;0.5698422936567329;-0.10693755792201375;1270383.0;cabo_de_santo_agostinho_bacharelado_engenharia_de_materiais
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.3260408025721313;-0.12126781251816654;-0.3732845461098135;-0.6938596586244006;-0.8452104043988711;2.2500290502282287;-0.6976331523151158;-0.40462717451747504;0.29675587033676415;1.87267024787689;-0.9865345907148653;-0.886914174233739;1.758523679602418;0.5660274550767079;-0.31066063756373413;-1.2966444980704093;-0.2015117796317025;0.7430254917841335;-0.6908909572391251;-0.20483064577102134;1270380.0;cabo_de_santo_agostinho_bacharelado_engenharia_eletronica
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.3260408025721313;-0.12126781251816654;-0.3008886956943061;-0.5478674605833603;-0.740572076789524;2.045884402673005;-0.6976331523151158;1.1147891542828396;0.29675587033676415;2.565508033954667;-0.8694233876880684;0.10816026515045601;1.758523679602418;0.38004700555150395;-0.4194707085885953;-0.9985818538721031;-0.2015117796317025;1.6492914325208414;-0.2706465402738391;-0.4985099093180441;1270381.0;cabo_de_santo_agostinho_bacharelado_engenharia_eletrica
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.3260408025721313;-0.12126781251816654;-0.2912359156389051;-0.6938596586244006;-0.6882529129848504;2.3316869092503185;0.3052145041378632;0.734935072082761;-0.9442232237987953;2.565508033954667;-0.5180897786076777;-0.886914174233739;1.758523679602418;0.008086106501095864;-0.05677047183905812;-1.2635264264928197;0.3437553887834924;2.037691121408002;0.14959787669144692;-0.4985099093180441;1270382.0;cabo_de_santo_agostinho_bacharelado_engenharia_mecanica
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;-0.35665925034698714;-0.12126781251816654;2.052881390939877;1.204038915909123;-0.008103783524093562;0.04526685663181056;1.8094859888173318;-0.024773092317396377;-0.9442232237987953;-0.43678903904903327;0.7701334546870882;2.098309143918846;-1.136561620290405;2.4258319503287487;-0.3469306612386879;0.557967510274607;-0.2015117796317025;-0.9400398267268959;-0.6908909572391251;-0.792189172865067;118418.0;recife_bacharelado_administracao
