in_capital;co_curso;qt_vg_total;qt_vg_total_diurno;qt_vg_total_noturno;qt_vg_nova;qt_vg_remanesc;qt_inscrito_total;qt_inscrito_total_diurno;qt_inscrito_total_noturno;qt_insc_vg_nova;qt_insc_vg_remanesc;qt_ing;qt_ing_fem;qt_ing_masc;qt_ing_diurno;qt_ing_noturno;qt_ing_vg_nova;qt_ing_vestibular;qt_ing_enem;qt_ing_vg_remanesc;qt_ing_outra_forma;qt_ing_0_17;qt_ing_18_24;qt_ing_25_29;qt_ing_30_34;qt_ing_35_39;qt_ing_40_49;qt_ing_50_59;qt_ing_60_mais;qt_ing_branca;qt_ing_preta;qt_ing_parda;qt_ing_amarela;qt_ing_indigena;qt_ing_cornd;qt_mat;qt_mat_fem;qt_mat_masc;qt_mat_diurno;qt_mat_noturno;qt_mat_0_17;qt_mat_18_24;qt_mat_25_29;qt_mat_30_34;qt_mat_35_39;qt_mat_40_49;qt_mat_50_59;qt_mat_60_mais;qt_mat_branca;qt_mat_preta;qt_mat_parda;qt_mat_amarela;qt_mat_indigena;qt_mat_cornd;qt_conc;qt_conc_fem;qt_conc_masc;qt_conc_diurno;qt_conc_noturno;qt_conc_18_24;qt_conc_25_29;qt_conc_30_34;qt_conc_35_39;qt_conc_40_49;qt_conc_50_59;qt_conc_60_mais;qt_conc_branca;qt_conc_preta;qt_conc_parda;qt_conc_amarela;qt_conc_indigena;qt_conc_cornd;qt_ing_nacbras;qt_mat_nacbras;qt_mat_nacestrang;qt_conc_nacbras;qt_aluno_deficiente;qt_ing_deficiente;qt_mat_deficiente;qt_conc_deficiente;qt_ing_reserva_vaga;qt_ing_rvredepublica;qt_ing_rvetnico;qt_ing_rvsocial_rf;qt_ing_rvoutros;qt_mat_reserva_vaga;qt_mat_rvredepublica;qt_mat_rvetnico;qt_mat_rvsocial_rf;qt_mat_rvoutros;qt_conc_reserva_vaga;qt_conc_rvredepublica;qt_conc_rvetnico;qt_conc_rvsocial_rf;qt_conc_rvoutros;qt_sit_trancada;qt_sit_desvinculado;qt_ing_procescpublica;qt_ing_procescprivada;qt_mat_procescpublica;qt_mat_procescprivada;qt_mat_procnaoinformada;qt_conc_procescpublica;qt_conc_procescprivada;qt_conc_procnaoinformada;qt_apoio_social;qt_ing_apoio_social;qt_mat_apoio_social;qt_conc_apoio_social;qt_ativ_extracurricular;qt_ing_ativ_extracurricular;qt_mat_ativ_extracurricular;qt_conc_ativ_extracurricular;qt_mob_academica;qt_mat_mob_academica;qt_conc_mob_academica;no_curso;no_municipio;no_cine_area_geral;tp_grau_academico;enade_faixa;cpc_faixa
0.0;1516690.0;80.0;80.0;0.0;80.0;0.0;360.0;360.0;0.0;360.0;0.0;76.0;14.0;62.0;76.0;0.0;76.0;4.0;72.0;0.0;0.0;2.0;72.0;0.0;1.0;0.0;1.0;0.0;0.0;27.0;5.0;43.0;1.0;0.0;0.0;123.0;19.0;104.0;123.0;0.0;2.0;116.0;2.0;2.0;0.0;1.0;0.0;0.0;49.0;6.0;65.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76.0;123.0;0.0;0.0;2.0;2.0;2.0;0.0;63.0;37.0;20.0;17.0;26.0;63.0;37.0;20.0;17.0;26.0;0.0;0.0;0.0;0.0;0.0;1.0;10.0;65.0;11.0;89.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;engenharia_de_computacao;belo_jardim;engenharia,_producao_e_construcao;bacharelado;SC;SC
0.0;1516692.0;80.0;80.0;0.0;80.0;0.0;282.0;282.0;0.0;282.0;0.0;65.0;17.0;48.0;65.0;0.0;65.0;12.0;53.0;0.0;0.0;3.0;53.0;4.0;2.0;2.0;1.0;0.0;0.0;25.0;4.0;31.0;0.0;0.0;5.0;104.0;25.0;79.0;104.0;0.0;2.0;86.0;8.0;4.0;2.0;2.0;0.0;0.0;37.0;9.0;52.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.0;104.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;19.0;14.0;9.0;24.0;42.0;20.0;15.0;10.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;44.0;21.0;63.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;engenharia_de_controle_e_automacao;belo_jardim;engenharia,_producao_e_construcao;bacharelado;SC;SC
0.0;1516689.0;80.0;80.0;0.0;80.0;0.0;305.0;305.0;0.0;305.0;0.0;37.0;13.0;24.0;37.0;0.0;37.0;4.0;33.0;0.0;0.0;2.0;24.0;6.0;2.0;1.0;2.0;0.0;0.0;11.0;5.0;18.0;2.0;0.0;1.0;72.0;29.0;43.0;72.0;0.0;2.0;53.0;8.0;4.0;2.0;3.0;0.0;0.0;25.0;7.0;35.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;72.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0;18.0;11.0;8.0;13.0;30.0;19.0;11.0;9.0;12.0;0.0;0.0;0.0;0.0;0.0;2.0;13.0;30.0;7.0;51.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;engenharia_hidrica;belo_jardim;engenharia,_producao_e_construcao;bacharelado;SC;SC
0.0;1516693.0;80.0;80.0;0.0;80.0;0.0;301.0;301.0;0.0;301.0;0.0;54.0;30.0;24.0;54.0;0.0;54.0;11.0;43.0;0.0;0.0;5.0;44.0;4.0;1.0;0.0;0.0;0.0;0.0;13.0;3.0;35.0;1.0;0.0;2.0;99.0;53.0;46.0;99.0;0.0;5.0;81.0;8.0;2.0;1.0;1.0;1.0;0.0;30.0;6.0;59.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.0;99.0;0.0;0.0;0.0;0.0;0.0;0.0;39.0;21.0;18.0;14.0;18.0;40.0;21.0;18.0;14.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;40.0;14.0;64.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;engenharia_quimica;belo_jardim;engenharia,_producao_e_construcao;bacharelado;SC;SC
0.0;1270379.0;140.0;140.0;0.0;120.0;20.0;790.0;790.0;0.0;784.0;6.0;106.0;46.0;60.0;106.0;0.0;102.0;38.0;64.0;1.0;3.0;8.0;73.0;16.0;1.0;2.0;4.0;1.0;1.0;39.0;15.0;50.0;1.0;0.0;1.0;356.0;147.0;209.0;356.0;0.0;8.0;265.0;57.0;12.0;5.0;7.0;1.0;1.0;122.0;34.0;193.0;5.0;1.0;1.0;7.0;2.0;5.0;7.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;0.0;0.0;106.0;356.0;0.0;7.0;2.0;0.0;1.0;0.0;60.0;34.0;22.0;20.0;26.0;100.0;72.0;45.0;44.0;28.0;0.0;0.0;0.0;0.0;0.0;11.0;59.0;72.0;34.0;139.0;217.0;0.0;3.0;4.0;0.0;42.0;0.0;37.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;engenharia_civil;cabo_de_santo_agostinho;engenharia,_producao_e_construcao;bacharelado;4;4
0.0;1270383.0;140.0;140.0;0.0;120.0;20.0;683.0;683.0;0.0;683.0;0.0;119.0;44.0;75.0;119.0;0.0;119.0;15.0;104.0;0.0;0.0;5.0;80.0;11.0;9.0;8.0;4.0;2.0;0.0;44.0;13.0;50.0;2.0;0.0;10.0;301.0;120.0;181.0;301.0;0.0;5.0;213.0;40.0;20.0;13.0;8.0;2.0;0.0;111.0;42.0;132.0;5.0;0.0;11.0;4.0;4.0;0.0;4.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;119.0;301.0;0.0;4.0;1.0;1.0;1.0;0.0;83.0;45.0;27.0;23.0;38.0;116.0;77.0;45.0;39.0;39.0;0.0;0.0;0.0;0.0;0.0;8.0;50.0;89.0;30.0;133.0;168.0;0.0;2.0;2.0;0.0;23.0;0.0;21.0;3.0;10.0;0.0;10.0;0.0;0.0;0.0;0.0;engenharia_de_materiais;cabo_de_santo_agostinho;engenharia,_producao_e_construcao;bacharelado;SC;SC
0.0;1270380.0;140.0;140.0;0.0;120.0;20.0;562.0;562.0;0.0;561.0;1.0;114.0;16.0;98.0;114.0;0.0;113.0;0.0;113.0;1.0;0.0;5.0;88.0;6.0;4.0;2.0;3.0;4.0;2.0;41.0;7.0;59.0;1.0;0.0;6.0;381.0;52.0;329.0;381.0;0.0;5.0;293.0;46.0;16.0;6.0;6.0;7.0;2.0;145.0;32.0;189.0;7.0;0.0;8.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;114.0;381.0;0.0;1.0;2.0;0.0;2.0;0.0;91.0;52.0;30.0;21.0;39.0;143.0;103.0;63.0;48.0;40.0;0.0;0.0;0.0;0.0;0.0;9.0;45.0;98.0;16.0;163.0;218.0;0.0;1.0;0.0;0.0;29.0;0.0;26.0;0.0;9.0;0.0;8.0;0.0;0.0;0.0;0.0;engenharia_eletronica;cabo_de_santo_agostinho;engenharia,_producao_e_construcao;bacharelado;3;4
0.0;1270381.0;140.0;140.0;0.0;120.0;20.0;592.0;592.0;0.0;590.0;2.0;111.0;18.0;93.0;111.0;0.0;111.0;11.0;100.0;0.0;0.0;5.0;84.0;8.0;5.0;4.0;4.0;1.0;0.0;42.0;15.0;44.0;1.0;0.0;9.0;387.0;75.0;312.0;387.0;0.0;5.0;300.0;52.0;11.0;10.0;8.0;1.0;0.0;143.0;37.0;190.0;8.0;0.0;9.0;2.0;1.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;111.0;387.0;0.0;2.0;1.0;1.0;1.0;0.0;86.0;48.0;28.0;24.0;38.0;123.0;85.0;46.0;45.0;38.0;0.0;0.0;0.0;0.0;0.0;8.0;42.0;86.0;25.0;150.0;237.0;0.0;1.0;1.0;0.0;43.0;0.0;40.0;1.0;6.0;0.0;6.0;0.0;0.0;0.0;0.0;engenharia_eletrica;cabo_de_santo_agostinho;engenharia,_producao_e_construcao;bacharelado;3;4
0.0;1270382.0;140.0;140.0;0.0;120.0;20.0;596.0;596.0;0.0;595.0;1.0;119.0;19.0;100.0;119.0;0.0;118.0;10.0;108.0;0.0;1.0;5.0;105.0;5.0;2.0;1.0;1.0;0.0;0.0;35.0;13.0;63.0;0.0;0.0;8.0;380.0;52.0;328.0;380.0;0.0;5.0;313.0;44.0;12.0;3.0;3.0;0.0;0.0;139.0;41.0;189.0;2.0;1.0;8.0;5.0;3.0;2.0;5.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;0.0;0.0;0.0;119.0;380.0;0.0;5.0;2.0;0.0;2.0;0.0;95.0;47.0;31.0;23.0;48.0;128.0;78.0;47.0;40.0;51.0;0.0;0.0;0.0;0.0;0.0;6.0;52.0;102.0;17.0;155.0;225.0;0.0;2.0;3.0;0.0;49.0;0.0;44.0;2.0;6.0;0.0;4.0;0.0;0.0;0.0;0.0;engenharia_mecanica;cabo_de_santo_agostinho;engenharia,_producao_e_construcao;bacharelado;4;4
1.0;118418.0;100.0;60.0;40.0;80.0;20.0;3912.0;2080.0;1832.0;3898.0;14.0;76.0;32.0;44.0;42.0;34.0;72.0;0.0;72.0;0.0;4.0;1.0;51.0;16.0;3.0;4.0;1.0;0.0;0.0;33.0;9.0;33.0;0.0;0.0;1.0;341.0;155.0;186.0;163.0;178.0;1.0;192.0;79.0;33.0;19.0;13.0;4.0;0.0;136.0;38.0;155.0;4.0;0.0;8.0;16.0;9.0;7.0;9.0;7.0;8.0;6.0;1.0;1.0;0.0;0.0;0.0;4.0;2.0;9.0;1.0;0.0;0.0;76.0;340.0;1.0;16.0;15.0;3.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;1.0;0.0;3.0;1.0;1.0;1.0;0.0;0.0;19.0;44.0;4.0;72.0;13.0;328.0;0.0;1.0;15.0;0.0;3.0;0.0;3.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;administracao;recife;negocios,_administracao_e_direito;bacharelado;5;4
