nu_ano_censo;no_regiao;co_regiao;no_uf;sg_uf;co_uf;no_municipio;co_municipio;in_capital;tp_dimensao;tp_organizacao_academica;tp_categoria_administrativa;tp_rede;co_ies;no_curso;co_curso;no_cine_rotulo;co_cine_rotulo;co_cine_area_geral;no_cine_area_geral;co_cine_area_especifica;no_cine_area_especifica;co_cine_area_detalhada;no_cine_area_detalhada;tp_grau_academico;in_gratuito;tp_modalidade_ensino;tp_nivel_academico;qt_curso;qt_vg_total;qt_vg_total_diurno;qt_vg_total_noturno;qt_vg_total_ead;qt_vg_nova;qt_vg_proc_seletivo;qt_vg_remanesc;qt_vg_prog_especial;qt_inscrito_total;qt_inscrito_total_diurno;qt_inscrito_total_noturno;qt_inscrito_total_ead;qt_insc_vg_nova;qt_insc_proc_seletivo;qt_insc_vg_remanesc;qt_insc_vg_prog_especial;qt_ing;qt_ing_fem;qt_ing_masc;qt_ing_diurno;qt_ing_noturno;qt_ing_vg_nova;qt_ing_vestibular;qt_ing_enem;qt_ing_avaliacao_seriada;qt_ing_selecao_simplifica;qt_ing_egr;qt_ing_outro_tipo_selecao;qt_ing_proc_seletivo;qt_ing_vg_remanesc;qt_ing_vg_prog_especial;qt_ing_outra_forma;qt_ing_0_17;qt_ing_18_24;qt_ing_25_29;qt_ing_30_34;qt_ing_35_39;qt_ing_40_49;qt_ing_50_59;qt_ing_60_mais;qt_ing_branca;qt_ing_preta;qt_ing_parda;qt_ing_amarela;qt_ing_indigena;qt_ing_cornd;qt_mat;qt_mat_fem;qt_mat_masc;qt_mat_diurno;qt_mat_noturno;qt_mat_0_17;qt_mat_18_24;qt_mat_25_29;qt_mat_30_34;qt_mat_35_39;qt_mat_40_49;qt_mat_50_59;qt_mat_60_mais;qt_mat_branca;qt_mat_preta;qt_mat_parda;qt_mat_amarela;qt_mat_indigena;qt_mat_cornd;qt_conc;qt_conc_fem;qt_conc_masc;qt_conc_diurno;qt_conc_noturno;qt_conc_0_17;qt_conc_18_24;qt_conc_25_29;qt_conc_30_34;qt_conc_35_39;qt_conc_40_49;qt_conc_50_59;qt_conc_60_mais;qt_conc_branca;qt_conc_preta;qt_conc_parda;qt_conc_amarela;qt_conc_indigena;qt_conc_cornd;qt_ing_nacbras;qt_ing_nacestrang;qt_mat_nacbras;qt_mat_nacestrang;qt_conc_nacbras;qt_conc_nacestrang;qt_aluno_deficiente;qt_ing_deficiente;qt_mat_deficiente;qt_conc_deficiente;qt_ing_financ;qt_ing_financ_reemb;qt_ing_fies;qt_ing_rpfies;qt_ing_financ_reemb_outros;qt_ing_financ_nreemb;qt_ing_prounii;qt_ing_prounip;qt_ing_nrpfies;qt_ing_financ_nreemb_outros;qt_mat_financ;qt_mat_financ_reemb;qt_mat_fies;qt_mat_rpfies;qt_mat_financ_reemb_outros;qt_mat_financ_nreemb;qt_mat_prounii;qt_mat_prounip;qt_mat_nrpfies;qt_mat_financ_nreemb_outros;qt_conc_financ;qt_conc_financ_reemb;qt_conc_fies;qt_conc_rpfies;qt_conc_financ_reemb_outros;qt_conc_financ_nreemb;qt_conc_prounii;qt_conc_prounip;qt_conc_nrpfies;qt_conc_financ_nreemb_outros;qt_ing_reserva_vaga;qt_ing_rvredepublica;qt_ing_rvetnico;qt_ing_rvpdef;qt_ing_rvsocial_rf;qt_ing_rvoutros;qt_mat_reserva_vaga;qt_mat_rvredepublica;qt_mat_rvetnico;qt_mat_rvpdef;qt_mat_rvsocial_rf;qt_mat_rvoutros;qt_conc_reserva_vaga;qt_conc_rvredepublica;qt_conc_rvetnico;qt_conc_rvpdef;qt_conc_rvsocial_rf;qt_conc_rvoutros;qt_sit_trancada;qt_sit_desvinculado;qt_sit_transferido;qt_sit_falecido;qt_ing_procescpublica;qt_ing_procescprivada;qt_ing_procnaoinformada;qt_mat_procescpublica;qt_mat_procescprivada;qt_mat_procnaoinformada;qt_conc_procescpublica;qt_conc_procescprivada;qt_conc_procnaoinformada;qt_parfor;qt_ing_parfor;qt_mat_parfor;qt_conc_parfor;qt_apoio_social;qt_ing_apoio_social;qt_mat_apoio_social;qt_conc_apoio_social;qt_ativ_extracurricular;qt_ing_ativ_extracurricular;qt_mat_ativ_extracurricular;qt_conc_ativ_extracurricular;qt_mob_academica;qt_ing_mob_academica;qt_mat_mob_academica;qt_conc_mob_academica;enade_faixa;cpc_faixa
2021;nordeste;2.0;pernambuco;pe;26.0;belo_jardim;2601706.0;0.0;1;1;1;1;587;engenharia_de_computacao;1516690;engenharia_de_computacao_(dcn_engenharia);"""0714e04""";7;engenharia,_producao_e_construcao;71;engenharia_e_profissoes_correlatas;714;eletronica_e_automacao;bacharelado;1;1;1;1;80;80;0;0;80;0;0;0;360;360;0;0;360;0;0;0;76;14;62;76;0;76;4;72;0;0;0;0;0;0;0;0;2;72;0;1;0;1;0;0;27;5;43;1;0;0;123;19;104;123;0;2;116;2;2;0;1;0;0;49;6;65;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;123;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;37;20;0;17;26;63;37;20;0;17;26;0;0;0;0;0;0;1;10;0;0;65;11;0;89;34;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;SC;SC
2021;nordeste;2.0;pernambuco;pe;26.0;belo_jardim;2601706.0;0.0;1;1;1;1;587;engenharia_de_controle_e_automacao;1516692;engenharia_de_controle_e_automacao;"""0714e05""";7;engenharia,_producao_e_construcao;71;engenharia_e_profissoes_correlatas;714;eletronica_e_automacao;bacharelado;1;1;1;1;80;80;0;0;80;0;0;0;282;282;0;0;282;0;0;0;65;17;48;65;0;65;12;53;0;0;0;0;0;0;0;0;3;53;4;2;2;1;0;0;25;4;31;0;0;5;104;25;79;104;0;2;86;8;4;2;2;0;0;37;9;52;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;19;14;0;9;24;42;20;15;0;10;22;0;0;0;0;0;0;0;30;0;0;44;21;0;63;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SC;SC
2021;nordeste;2.0;pernambuco;pe;26.0;belo_jardim;2601706.0;0.0;1;1;1;1;587;engenharia_hidrica;1516689;engenharia_de_recursos_hidricos;"""0732e02""";7;engenharia,_producao_e_construcao;73;arquitetura_e_construcao;732;engenharia_civil_e_construcao;bacharelado;1;1;1;1;80;80;0;0;80;0;0;0;305;305;0;0;305;0;0;0;37;13;24;37;0;37;4;33;0;0;0;0;0;0;0;0;2;24;6;2;1;2;0;0;11;5;18;2;0;1;72;29;43;72;0;2;53;8;4;2;3;0;0;25;7;35;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;18;11;0;8;13;30;19;11;0;9;12;0;0;0;0;0;0;2;13;0;0;30;7;0;51;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SC;SC
2021;nordeste;2.0;pernambuco;pe;26.0;belo_jardim;2601706.0;0.0;1;1;1;1;587;engenharia_quimica;1516693;engenharia_quimica;"""0711e05""";7;engenharia,_producao_e_construcao;71;engenharia_e_profissoes_correlatas;711;engenharia_quimica_e_de_processos;bacharelado;1;1;1;1;80;80;0;0;80;0;0;0;301;301;0;0;301;0;0;0;54;30;24;54;0;54;11;43;0;0;0;0;0;0;0;0;5;44;4;1;0;0;0;0;13;3;35;1;0;2;99;53;46;99;0;5;81;8;2;1;1;1;0;30;6;59;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;21;18;0;14;18;40;21;18;0;14;19;0;0;0;0;0;0;0;12;0;0;40;14;0;64;35;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;SC;SC
2021;nordeste;2.0;pernambuco;pe;26.0;cabo_de_santo_agostinho;2602902.0;0.0;1;1;1;1;587;engenharia_civil;1270379;engenharia_civil;"""0732e01""";7;engenharia,_producao_e_construcao;73;arquitetura_e_construcao;732;engenharia_civil_e_construcao;bacharelado;1;1;1;1;140;140;0;0;120;0;20;0;790;790;0;0;784;0;6;0;106;46;60;106;0;102;38;64;0;0;0;0;0;1;0;3;8;73;16;1;2;4;1;1;39;15;50;1;0;1;356;147;209;356;0;8;265;57;12;5;7;1;1;122;34;193;5;1;1;7;2;5;7;0;0;3;4;0;0;0;0;0;1;0;6;0;0;0;106;0;356;0;7;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;34;22;0;20;26;100;72;45;0;44;28;0;0;0;0;0;0;11;59;0;0;72;34;0;139;217;0;3;4;0;0;0;0;0;42;0;37;1;2;0;2;0;0;0;0;0;4;4
2021;nordeste;2.0;pernambuco;pe;26.0;cabo_de_santo_agostinho;2602902.0;0.0;1;1;1;1;587;engenharia_de_materiais;1270383;engenharia_de_materiais;"""0722e01""";7;engenharia,_producao_e_construcao;72;producao_e_processamento;722;materiais;bacharelado;1;1;1;1;140;140;0;0;120;0;20;0;683;683;0;0;683;0;0;0;119;44;75;119;0;119;15;104;0;0;0;0;0;0;0;0;5;80;11;9;8;4;2;0;44;13;50;2;0;10;301;120;181;301;0;5;213;40;20;13;8;2;0;111;42;132;5;0;11;4;4;0;4;0;0;2;1;1;0;0;0;0;1;1;2;0;0;0;119;0;301;0;4;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;45;27;0;23;38;116;77;45;0;39;39;0;0;0;0;0;0;8;50;0;0;89;30;0;133;168;0;2;2;0;0;0;0;0;23;0;21;3;10;0;10;0;0;0;0;0;SC;SC
2021;nordeste;2.0;pernambuco;pe;26.0;cabo_de_santo_agostinho;2602902.0;0.0;1;1;1;1;587;engenharia_eletronica;1270380;engenharia_eletronica;"""0714e08""";7;engenharia,_producao_e_construcao;71;engenharia_e_profissoes_correlatas;714;eletronica_e_automacao;bacharelado;1;1;1;1;140;140;0;0;120;0;20;0;562;562;0;0;561;0;1;0;114;16;98;114;0;113;0;113;0;0;0;0;0;1;0;0;5;88;6;4;2;3;4;2;41;7;59;1;0;6;381;52;329;381;0;5;293;46;16;6;6;7;2;145;32;189;7;0;8;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;114;0;381;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;52;30;0;21;39;143;103;63;0;48;40;0;0;0;0;0;0;9;45;0;0;98;16;0;163;218;0;1;0;0;0;0;0;0;29;0;26;0;9;0;8;0;0;0;0;0;3;4
2021;nordeste;2.0;pernambuco;pe;26.0;cabo_de_santo_agostinho;2602902.0;0.0;1;1;1;1;587;engenharia_eletrica;1270381;engenharia_eletrica;"""0713e05""";7;engenharia,_producao_e_construcao;71;engenharia_e_profissoes_correlatas;713;eletricidade_e_energia;bacharelado;1;1;1;1;140;140;0;0;120;0;20;0;592;592;0;0;590;0;2;0;111;18;93;111;0;111;11;100;0;0;0;0;0;0;0;0;5;84;8;5;4;4;1;0;42;15;44;1;0;9;387;75;312;387;0;5;300;52;11;10;8;1;0;143;37;190;8;0;9;2;1;1;2;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;111;0;387;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;48;28;0;24;38;123;85;46;0;45;38;0;0;0;0;0;0;8;42;0;0;86;25;0;150;237;0;1;1;0;0;0;0;0;43;0;40;1;6;0;6;0;0;0;0;0;3;4
2021;nordeste;2.0;pernambuco;pe;26.0;cabo_de_santo_agostinho;2602902.0;0.0;1;1;1;1;587;engenharia_mecanica;1270382;engenharia_mecanica;"""0715e02""";7;engenharia,_producao_e_construcao;71;engenharia_e_profissoes_correlatas;715;engenharia_mecanica_e_metalurgia;bacharelado;1;1;1;1;140;140;0;0;120;0;20;0;596;596;0;0;595;0;1;0;119;19;100;119;0;118;10;108;0;0;0;0;0;0;0;1;5;105;5;2;1;1;0;0;35;13;63;0;0;8;380;52;328;380;0;5;313;44;12;3;3;0;0;139;41;189;2;1;8;5;3;2;5;0;0;1;4;0;0;0;0;0;3;1;1;0;0;0;119;0;380;0;5;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;47;31;0;23;48;128;78;47;0;40;51;0;0;0;0;0;0;6;52;0;0;102;17;0;155;225;0;2;3;0;0;0;0;0;49;0;44;2;6;0;4;0;0;0;0;0;4;4
2021;nordeste;2.0;pernambuco;pe;26.0;recife;2611606.0;1.0;1;1;1;1;587;administracao;118418;administracao;"""0413a01""";4;negocios,_administracao_e_direito;41;negocios_e_administracao;413;gestao_e_administracao;bacharelado;1;1;1;1;100;60;40;0;80;0;20;0;3912;2080;1832;0;3898;0;14;0;76;32;44;42;34;72;0;72;0;0;0;0;0;0;0;4;1;51;16;3;4;1;0;0;33;9;33;0;0;1;341;155;186;163;178;1;192;79;33;19;13;4;0;136;38;155;4;0;8;16;9;7;9;7;0;8;6;1;1;0;0;0;4;2;9;1;0;0;76;0;340;1;16;0;15;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;1;0;0;3;1;1;1;0;0;0;19;44;0;0;4;72;0;13;328;0;1;15;0;0;0;0;0;3;0;3;0;3;0;3;0;0;0;0;0;5;4
