co_curso,no_curso,tp_grau_academico,no_municipio,enade_faixa,cpc_faixa
1516690,engenharia_de_computacao,bacharelado,belo_jardim,SC,SC
1516692,engenharia_de_controle_e_automacao,bacharelado,belo_jardim,SC,SC
1516689,engenharia_hidrica,bacharelado,belo_jardim,SC,SC
1516693,engenharia_quimica,bacharelado,belo_jardim,SC,SC
1270379,engenharia_civil,bacharelado,cabo_de_santo_agostinho,4,4
1270383,engenharia_de_materiais,bacharelado,cabo_de_santo_agostinho,SC,SC
1270380,engenharia_eletronica,bacharelado,cabo_de_santo_agostinho,3,4
1270381,engenharia_eletrica,bacharelado,cabo_de_santo_agostinho,3,4
1270382,engenharia_mecanica,bacharelado,cabo_de_santo_agostinho,4,4
118418,administracao,bacharelado,recife,5,4
1467721,agroecologia,bacharelado,recife,SC,SC
14502,agronomia,bacharelado,recife,4,4
1557116,aquicultura,tecnologico,recife,SC,SC
1102628,ciencia_da_computacao,bacharelado,recife,4,4
103084,ciencias_agricolas,licenciatura,recife,SC,4
14506,ciencias_biologicas,bacharelado,recife,3,3
14512,ciencias_biologicas,licenciatura,recife,4,4
1377529,ciencias_do_consumo,bacharelado,recife,SC,SC
14515,ciencias_economicas,bacharelado,recife,3,4
14513,ciencias_sociais,bacharelado,recife,4,4
43917,computacao,licenciatura,recife,4,4
14500,economia_domestica,bacharelado,recife,SC,4
1102627,educacao_fisica,licenciatura,recife,5,4
57872,engenharia_agricola_e_ambiental,bacharelado,recife,SC,5
1448711,engenharia_ambiental,bacharelado,recife,SC,SC
14504,engenharia_de_pesca,bacharelado,recife,SC,4
14503,engenharia_florestal,bacharelado,recife,4,4
14510,fisica,licenciatura,recife,4,4
92075,gastronomia,bacharelado,recife,SC,3
14514,historia,licenciatura,recife,4,4
118382,letras_-_portugues_e_espanhol,licenciatura,recife,5,4
14505,matematica,licenciatura,recife,4,4
14507,medicina_veterinaria,bacharelado,recife,3,4
91975,pedagogia,licenciatura,recife,3,3
14511,quimica,licenciatura,recife,3,3
118420,sistema_de_informacao,bacharelado,recife,4,4
14508,zootecnia,bacharelado,recife,3,4
118472,administracao,bacharelado,serra_talhada,4,3
101452,agronomia,bacharelado,serra_talhada,4,4
101834,ciencias_biologicas,bacharelado,serra_talhada,2,3
101836,ciencias_economicas,bacharelado,serra_talhada,2,3
101832,engenharia_de_pesca,bacharelado,serra_talhada,SC,5
118478,letras_-_portugues_e_ingles,licenciatura,serra_talhada,3,4
101800,quimica,licenciatura,serra_talhada,2,3
101830,sistema_de_informacao,bacharelado,serra_talhada,4,3
118474,zootecnia,bacharelado,serra_talhada,2,3
