cod_inep;enade_faixa;cpc_faixa
1270379;4;4
1270380;3;4
1270381;3;4
1270382;4;4
1270383;;
1516690;;
1516692;;
1516689;;
1516693;;
118478;3;
118468;4;4
118472;4;3
118382;3;
118418;5;4
118470;3;4
1102628;4;
118466;4;4
101800;3;
91555;4;4
91561;3;4
91738;3;4
91969;4;4
101452;4;4
101834;3;
101836;2;3
101832;;
101830;3;3
14502;4;4
103084;;
14504;;
14506;3;
14507;3;4
14508;3;4
14512;4;
14510;4;
14505;4;
14511;3;
14515;3;4
14514;4;
14513;3;
43917;5;
91975;4;
57872;;
92075;;
14500;;
118420;4;4
118474;2;3
1377529;;
1448711;;
1467721;;
0;;
